iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
MAR,Africa,Morocco,2023-01-18,1272116.0,26.0,19.286,16296.0,0.0,0.143,33961.152,0.694,0.515,435.048,0.0,0.004,,,,,,,,,,,,,,,,,,,55363895.0,25016120.0,23516952.0,,,426.0,147.8,66.78,62.78,,11.0,59.0,0.0,,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,37457976.0,,,,
MOZ,Africa,Mozambique,2023-01-18,231404.0,185.0,26.429,2232.0,0.0,0.0,7018.725,5.611,0.802,67.699,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,32969520.0,,,,
MMR,Asia,Myanmar,2023-01-18,633777.0,14.0,6.714,19490.0,0.0,0.0,11697.768,0.258,0.124,359.731,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,54179312.0,,,,
NAM,Africa,Namibia,2023-01-18,170496.0,0.0,18.143,4083.0,0.0,0.143,66417.766,0.0,7.068,1590.558,0.0,0.056,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.078,22.0,3.552,2.085,9541.808,13.4,243.811,3.94,9.7,34.2,44.6,,63.71,0.646,2567024.0,,,,
NRU,Oceania,Nauru,2023-01-18,4621.0,0.0,0.0,1.0,0.0,0.0,364116.303,0.0,0.0,78.796,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,682.45,,,,12895.635,,,24.07,43.0,36.9,,5.0,59.96,,12691.0,,,,
NPL,Asia,Nepal,2023-01-18,1001068.0,9.0,5.0,12020.0,0.0,0.0,32770.773,0.295,0.164,393.484,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,204.43,25.0,5.809,3.212,2442.804,15.0,260.797,7.26,9.5,37.8,47.782,0.3,70.78,0.602,30547586.0,,,,
NLD,Europe,Netherlands,2023-01-18,8589689.0,5.0,328.857,23079.0,0.0,0.0,489050.286,0.285,18.723,1313.993,0.0,0.0,,39.0,2.22,574.0,32.68,29.0,1.651,587.0,33.421,,,,,,,,,,,,,,,,,,,,,,,,508.544,43.2,18.779,11.881,48472.545,,109.361,5.29,24.4,27.3,,3.32,82.28,0.944,17564020.0,,,,
NCL,Oceania,New Caledonia,2023-01-18,79921.0,61.0,8.714,314.0,0.0,0.0,275628.623,210.375,30.054,1082.912,0.0,0.0,,,,,,,,,,,,,,,,,,,478524.0,192213.0,184656.0,101655.0,,33.0,165.03,66.29,63.68,35.06,114.0,1.0,0.0,,15.342,33.4,9.954,6.489,,,,23.36,,,,,77.55,,289959.0,,,,
NZL,Oceania,New Zealand,2023-01-18,2158656.0,2.0,2744.0,2437.0,44.0,6.286,416303.894,0.386,529.189,469.983,8.486,1.212,,,,,,,,,,,,,,,,,,,11962926.0,4300097.0,4138926.0,3523903.0,1388.0,911.0,230.71,82.93,79.82,67.96,176.0,30.0,0.001,,18.206,37.9,15.322,9.72,36085.843,,128.797,8.08,14.8,17.2,,2.61,82.29,0.931,5185289.0,,,,
NIC,North America,Nicaragua,2023-01-18,15541.0,34.0,4.857,245.0,0.0,0.0,2236.632,4.893,0.699,35.26,0.0,0.0,,,,,,,,,,,,,,,,,,,12144072.0,6182972.0,5961100.0,,,2364.0,174.78,88.98,85.79,,340.0,1105.0,0.016,,51.667,27.3,5.445,3.519,5321.444,3.2,137.016,11.47,,,,0.9,74.48,0.66,6948395.0,,,,
NER,Africa,Niger,2023-01-18,9506.0,0.0,4.714,315.0,0.0,0.0,362.714,0.0,0.18,12.019,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.955,15.1,2.553,1.378,926.0,44.5,238.339,2.42,0.1,15.4,8.978,0.3,62.42,0.394,26207982.0,,,,
NGA,Africa,Nigeria,2023-01-18,266463.0,0.0,0.0,3155.0,0.0,0.0,1219.28,0.0,0.0,14.437,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209.588,18.1,2.751,1.447,5338.454,,181.013,2.42,0.6,10.8,41.949,,54.69,0.539,218541216.0,,,,
OWID_NAM,,North America,2023-01-18,120467468.0,135961.0,52956.714,1562949.0,1636.0,577.571,200670.866,226.479,88.214,2603.511,2.725,0.962,,,,,,,,,,,,,,,,,,,1135494545.0,457952314.0,393343354.0,247429731.0,130821.0,63494.0,189.15,76.28,65.52,41.22,106.0,9757.0,0.002,,,,,,,,,,,,,,,,600323657.0,,,,
PRK,Asia,North Korea,2023-01-18,1.0,0.0,0.0,6.0,0.0,0.0,0.038,0.0,0.0,0.23,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211.701,35.3,9.491,6.139,,,321.681,4.0,,,,13.2,72.27,,26069416.0,,,,
MKD,Europe,North Macedonia,2023-01-18,346297.0,202.0,28.857,9633.0,10.0,1.429,165406.958,96.484,13.783,4601.152,4.776,0.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6,39.1,13.26,8.16,13111.214,5.0,322.688,10.08,,,,4.28,75.8,0.774,2093606.0,,,,
OWID_CYN,Asia,Northern Cyprus,2023-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,861519.0,301673.0,313067.0,,,0.0,225.04,78.8,81.78,,0.0,0.0,0.0,,,,,,,,,,,,,,,,382836.0,,,,
OWID_NIR,Europe,Northern Ireland,2023-01-11,,,,,,,,,,,,,,,,441.0,232.595,,,171.0,90.19,,,,,,,,,,4474138.0,1429812.0,1360007.0,1045741.0,894.0,587.0,235.98,75.41,71.73,55.16,310.0,11.0,0.001,,,,,,,,,,,,,,,,1896000.0,,,,
NOR,Europe,Norway,2023-01-18,1477205.0,77.0,76.857,4963.0,104.0,14.857,271828.658,14.169,14.143,913.269,19.138,2.734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.462,39.7,16.821,10.813,64800.057,0.2,114.316,5.31,19.6,20.7,,3.6,82.4,0.957,5434324.0,,,,
OWID_OCE,,Oceania,2023-01-18,13815103.0,63.0,7764.429,22984.0,0.0,49.571,306737.404,1.399,172.394,510.315,0.0,1.101,,,,,,,,,,,,,,,,,,,80728081.0,28915884.0,27874553.0,23896611.0,3346.0,3184.0,179.24,64.2,61.89,53.06,71.0,96.0,0.0,,,,,,,,,,,,,,,,45038860.0,,,,
OMN,Asia,Oman,2023-01-18,399154.0,0.0,0.0,4628.0,0.0,0.0,87221.992,0.0,0.0,1011.297,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.98,30.7,2.355,1.53,37960.709,,266.342,12.61,0.5,15.6,97.4,1.6,77.86,0.813,4576300.0,,,,
PAK,Asia,Pakistan,2023-01-18,1576109.0,0.0,13.143,30640.0,0.0,0.143,6683.388,0.0,0.056,129.927,0.0,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255.573,23.5,4.495,2.78,5034.708,4.0,423.031,8.35,2.8,36.7,59.607,0.6,67.27,0.557,235824864.0,,,,
PLW,Oceania,Palau,2023-01-18,5980.0,0.0,0.571,9.0,0.0,0.0,330679.053,0.0,31.599,497.678,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.237,,,,13240.405,,,15.89,7.7,22.7,,4.8,73.7,0.826,18084.0,,,,
PSE,Asia,Palestine,2023-01-18,703228.0,0.0,0.0,5708.0,0.0,0.0,133946.251,0.0,0.0,1087.222,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,778.202,20.4,3.043,1.726,4449.898,1.0,265.91,10.59,,,,,74.05,0.708,5250076.0,,,,
PAN,North America,Panama,2023-01-18,1028272.0,1025.0,346.857,8589.0,0.0,0.714,233243.251,232.501,78.678,1948.245,0.0,0.162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55.133,29.7,7.918,5.03,22267.037,2.2,128.346,8.33,2.4,9.9,,2.3,78.51,0.815,4408582.0,,,,
PNG,Oceania,Papua New Guinea,2023-01-18,46663.0,0.0,0.0,669.0,0.0,0.0,4600.683,0.0,0.0,65.959,0.0,0.0,,,,,,,,,,,,,,,,,,,713099.0,369998.0,310717.0,32384.0,,93.0,7.03,3.65,3.06,0.32,9.0,0.0,0.0,,18.22,22.6,3.808,2.142,3823.194,,561.494,17.65,23.5,48.8,,,64.5,0.555,10142625.0,,,,
PRY,South America,Paraguay,2023-01-18,800163.0,1932.0,276.0,19746.0,30.0,4.286,118005.175,284.924,40.703,2912.069,4.424,0.632,,,,,,,,,,,,,,,,,,,9524376.0,3981399.0,3537084.0,2005893.0,10109.0,2666.0,140.46,58.72,52.16,29.58,393.0,399.0,0.006,,17.144,26.5,6.378,3.833,8827.01,1.7,199.128,8.27,5.0,21.6,79.602,1.3,74.25,0.728,6780745.0,,,,
PER,South America,Peru,2023-01-18,4476123.0,513.0,743.429,218554.0,0.0,14.143,131458.947,15.066,21.834,6418.697,0.0,0.415,,,,,,,,,,,,,,,,,,,86836752.0,30233395.0,28449856.0,28153501.0,2335.0,8015.0,255.03,88.79,83.55,82.68,235.0,1207.0,0.004,,25.129,29.1,7.151,4.455,12236.706,3.5,85.755,5.95,4.8,,,1.6,76.74,0.777,34049588.0,,,,
PHL,Asia,Philippines,2023-01-18,4071013.0,338.0,315.857,65637.0,19.0,18.286,35228.868,2.925,2.733,567.996,0.164,0.158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,351.873,25.2,4.803,2.661,7599.188,,370.437,7.07,7.8,40.8,78.463,1.0,71.23,0.718,115559008.0,,,,
POL,Europe,Poland,2023-01-18,6374257.0,377.0,288.714,118666.0,6.0,7.286,159927.59,9.459,7.244,2977.283,0.151,0.183,,,,,,,,,,,,,,,,,,,57843798.0,22860099.0,22633170.0,15231515.0,4137.0,3497.0,145.13,57.36,56.79,38.22,88.0,313.0,0.001,,124.027,41.8,16.763,10.202,27216.445,,227.331,5.91,23.3,33.1,,6.62,78.73,0.88,39857144.0,,,,
PRT,Europe,Portugal,2023-01-18,5557941.0,0.0,0.0,25805.0,0.0,0.0,541137.025,0.0,0.0,2512.449,0.0,0.0,,,,,,,,,,,,,,,,,,,27992050.0,9774656.0,8888377.0,7032613.0,,3251.0,272.54,95.17,86.54,68.47,317.0,32.0,0.0,,112.371,46.2,21.502,14.924,27936.896,0.5,127.842,9.85,16.3,30.0,,3.39,82.05,0.864,10270857.0,,,,
QAT,Asia,Qatar,2023-01-18,491721.0,77.0,94.143,685.0,0.0,0.0,182447.903,28.57,34.931,254.162,0.0,0.0,,,,,,,,,,,,,,,,,,,7603722.0,2850786.0,2850786.0,1902150.0,,157.0,282.13,105.78,105.78,70.58,58.0,42.0,0.002,,227.322,31.9,1.307,0.617,116935.6,,176.69,16.52,0.8,26.9,,1.2,80.23,0.848,2695131.0,,,,
ROU,Europe,Romania,2023-01-18,3319680.0,3488.0,498.286,67504.0,44.0,6.286,168860.797,177.423,25.346,3433.698,2.238,0.32,,113.0,5.748,1157.0,58.853,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.129,43.0,17.85,11.69,23313.199,5.7,370.946,9.74,22.9,37.1,,6.892,76.05,0.828,19659270.0,,,,
RUS,Europe,Russia,2023-01-18,21561796.0,5442.0,4733.429,386588.0,46.0,43.571,148996.631,37.605,32.709,2671.406,0.318,0.301,,,,,,,,5193.0,35.885,,,,,,,,,,184226161.0,87805023.0,79038657.0,19621275.0,313402.0,47420.0,127.3,60.68,54.62,13.56,328.0,18742.0,0.013,,8.823,39.6,14.178,9.393,24765.954,0.1,431.297,6.18,23.4,58.3,,8.05,72.58,0.824,144713312.0,,,,
RWA,Africa,Rwanda,2023-01-18,133078.0,0.0,2.143,1468.0,0.0,0.0,9659.641,0.0,0.156,106.557,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,494.869,20.3,2.974,1.642,1854.211,56.0,191.375,4.28,4.7,21.0,4.617,,69.02,0.543,13776702.0,,,,
SHN,Africa,Saint Helena,2023-01-18,2166.0,0.0,0.0,,,,401036.845,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.56,,5401.0,,,,
KNA,North America,Saint Kitts and Nevis,2023-01-18,6584.0,3.0,1.429,46.0,0.0,0.0,138084.352,62.918,29.961,964.745,0.0,0.0,,,,,,,,,,,,,,,,,,,64297.0,33794.0,27000.0,3503.0,,0.0,134.85,70.88,56.63,7.35,0.0,0.0,0.0,,212.865,,,,24654.385,,,12.84,,,,2.3,76.23,0.779,47681.0,,,,
LCA,North America,Saint Lucia,2023-01-18,29761.0,2.0,0.286,409.0,0.0,0.0,165456.547,11.119,1.588,2273.839,0.0,0.0,,,,,,,,,,,,,,,,,,,122977.0,60140.0,54971.0,7866.0,,0.0,68.37,33.43,30.56,4.37,0.0,0.0,0.0,,293.187,34.9,9.721,6.405,12951.839,,204.62,11.62,,,87.202,1.3,76.2,0.759,179872.0,,,,
SPM,North America,Saint Pierre and Miquelon,2023-01-18,3368.0,0.0,2.714,2.0,0.0,0.0,572302.464,0.0,461.221,339.847,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,81.07,,5885.0,,,,
VCT,North America,Saint Vincent and the Grenadines,2023-01-18,9572.0,9.0,1.286,123.0,2.0,0.286,92074.76,86.573,12.368,1183.159,19.238,2.748,,,,,,,,,,,,,,,,,,,73301.0,37471.0,31588.0,4242.0,,9.0,70.51,36.04,30.39,4.08,87.0,4.0,0.004,,281.787,31.8,7.724,4.832,10727.146,,252.675,11.62,,,,2.6,72.53,0.738,103959.0,,,,
WSM,Oceania,Samoa,2023-01-18,16008.0,0.0,0.0,29.0,0.0,0.0,71981.654,0.0,0.0,130.402,0.0,0.0,,,,,,,,,,,,,,,,,,,449439.0,191163.0,177721.0,79360.0,,10.0,202.09,85.96,79.91,35.69,45.0,1.0,0.0,,69.413,22.0,5.606,3.564,6021.557,,348.977,9.21,16.7,38.1,,,73.32,0.715,222390.0,,,,
SMR,Europe,San Marino,2023-01-18,23370.0,0.0,11.429,122.0,0.0,0.143,693677.649,0.0,339.227,3621.253,0.0,4.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,556.667,,,,56861.47,,,5.64,,,,3.8,84.97,,33690.0,,,,
STP,Africa,Sao Tome and Principe,2023-01-18,6279.0,0.0,0.0,77.0,0.0,0.0,27612.987,0.0,0.0,338.621,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212.841,18.7,2.886,2.162,3052.714,32.3,270.113,2.42,,,41.34,2.9,70.39,0.625,227393.0,,,,
SAU,Asia,Saudi Arabia,2023-01-18,827488.0,35.0,26.143,9549.0,3.0,1.714,22727.677,0.961,0.718,262.272,0.082,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.322,31.9,3.295,1.845,49045.411,,259.538,17.72,1.8,25.4,,2.7,75.13,0.854,36408824.0,,,,
OWID_SCT,Europe,Scotland,2023-01-09,,,,,,,,,,,,,,14.0,2.561,1275.0,233.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5466000.0,,,,
SEN,Africa,Senegal,2023-01-18,88900.0,0.0,0.0,1968.0,0.0,0.0,5133.846,0.0,0.0,113.649,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.328,18.7,3.008,1.796,2470.58,38.0,241.219,2.42,0.4,16.6,20.859,,67.94,0.512,17316452.0,,,,
SRB,Europe,Serbia,2023-01-18,2462353.0,963.0,865.714,17630.0,8.0,7.571,358340.414,140.143,125.985,2565.652,1.164,1.102,,16.0,2.328,295.0,42.931,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.291,41.2,17.366,,14048.881,,439.415,10.08,37.7,40.2,97.719,5.609,76.0,0.806,6871547.0,,,,
SYC,Africa,Seychelles,2023-01-18,50355.0,0.0,0.0,172.0,0.0,0.0,470014.468,0.0,0.0,1605.451,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.354,36.2,8.606,5.586,26382.287,1.1,242.648,10.55,7.1,35.7,,3.6,73.4,0.796,107135.0,,,,
SLE,Africa,Sierra Leone,2023-01-18,7760.0,0.0,0.0,126.0,0.0,0.0,901.726,0.0,0.0,14.641,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.7,19.1,2.538,1.285,1390.3,52.2,325.721,2.42,8.8,41.3,19.275,,54.7,0.452,8605723.0,,,,
SGP,Asia,Singapore,2023-01-18,2213091.0,407.0,426.0,1718.0,1.0,0.143,392599.319,72.201,75.572,304.771,0.177,0.025,,,,,,3.0,0.532,91.0,16.143,,,,,,,,,,,5161990.0,5120768.0,,,,,91.57,90.84,,,175.0,0.003,,7915.731,42.4,12.922,7.049,85535.383,,92.243,10.99,5.2,28.3,,2.4,83.62,0.938,5637022.0,,,,
SVK,Europe,Slovakia,2023-01-18,2659532.0,124.0,112.429,20888.0,6.0,4.143,471259.539,21.972,19.922,3701.279,1.063,0.734,,21.0,3.721,325.0,57.589,3.0,0.549,120.0,21.246,,,,,,,,,,,,,,,,,,,,,,,,113.128,41.2,15.07,9.167,30155.152,0.7,287.959,7.29,23.1,37.7,,5.82,77.54,0.86,5643455.0,,,,
SVN,Europe,Slovenia,2023-01-18,1318579.0,445.0,382.286,7039.0,1.0,1.286,622017.291,209.921,180.337,3320.529,0.472,0.607,,21.0,9.906,93.0,43.871,16.0,7.587,94.0,44.571,,,,,,,,,,,,,,,,,,,,,,,,102.619,44.5,19.062,12.93,31400.84,,153.493,7.25,20.1,25.0,,4.5,81.32,0.917,2119843.0,,,,
SLB,Oceania,Solomon Islands,2023-01-18,24575.0,0.0,0.0,153.0,0.0,0.0,33930.623,0.0,0.0,211.247,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.841,20.8,3.507,2.043,2205.923,25.1,459.78,18.68,,,35.89,1.4,73.0,0.567,724272.0,,,,
SOM,Africa,Somalia,2023-01-18,27310.0,0.0,0.0,1361.0,0.0,0.0,1551.924,0.0,0.0,77.34,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,16.8,2.731,1.496,,,365.769,6.05,,,9.831,0.9,57.4,,17597508.0,,,,
ZAF,Africa,South Africa,2023-01-18,4052988.0,874.0,299.714,102568.0,0.0,0.0,67669.48,14.592,5.004,1712.495,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.754,27.3,5.344,3.053,12294.876,18.9,200.38,5.52,8.1,33.2,43.993,2.32,64.13,0.709,59893884.0,,,,
OWID_SAM,,South America,2023-01-18,67386754.0,20779.0,23871.429,1344297.0,226.0,153.0,154267.814,47.569,54.649,3077.486,0.517,0.35,,,,,,,,,,,,,,,,,,,947517422.0,374219299.0,335584276.0,247169238.0,106055.0,353192.0,216.91,85.67,76.82,56.58,809.0,39855.0,0.009,,,,,,,,,,,,,,,,436816679.0,,,,
KOR,Asia,South Korea,2023-01-18,29927958.0,29816.0,32845.0,33104.0,47.0,40.429,577583.544,575.423,633.88,638.878,0.907,0.78,,499.0,9.63,1927.0,37.189,530.0,10.229,1031.0,19.897,,,,,,,,,,,44866837.0,44447828.0,,,,,86.59,85.78,,,218.0,0.0,,527.967,43.4,13.914,8.622,35938.374,0.2,85.998,6.8,6.2,40.9,,12.27,83.03,0.916,51815808.0,,,,
SSD,Africa,South Sudan,2023-01-18,18368.0,0.0,0.0,138.0,0.0,0.0,1683.104,0.0,0.0,12.645,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,10913172.0,,,,
ESP,Europe,Spain,2023-01-18,13711251.0,17773.0,2539.0,117759.0,346.0,49.429,288302.048,373.707,53.387,2476.08,7.275,1.039,,213.0,4.479,2811.0,59.106,141.0,2.965,2305.0,48.466,,,,,,,,,,104536856.0,41335276.0,40722262.0,26420970.0,,29391.0,219.81,86.91,85.63,55.55,618.0,145.0,0.0,,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,47558632.0,,,,
LKA,Asia,Sri Lanka,2023-01-18,671970.0,2.0,3.143,16824.0,0.0,0.429,30778.92,0.092,0.144,770.607,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,21832150.0,,,,
SDN,Africa,Sudan,2023-01-18,63725.0,8.0,3.286,5001.0,3.0,0.857,1359.49,0.171,0.07,106.69,0.064,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,46874200.0,,,,
SUR,South America,Suriname,2023-01-18,82020.0,0.0,0.0,1398.0,0.0,0.0,132708.569,0.0,0.0,2261.968,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,618046.0,,,,
SWE,Europe,Sweden,2023-01-18,2687840.0,4484.0,640.571,22645.0,503.0,71.857,254787.286,425.05,60.721,2146.578,47.681,6.812,,,,,,,,,,,,,,,,,,,25537528.0,7816354.0,7633885.0,9780644.0,,2248.0,242.08,74.09,72.36,92.71,213.0,52.0,0.0,,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,10549349.0,,,,
CHE,Europe,Switzerland,2023-01-18,4406243.0,1263.0,180.429,14243.0,6.0,6.0,504119.629,144.5,20.643,1629.546,0.686,0.686,,25.0,2.86,465.0,53.201,,,51.0,5.835,,,,,,,,,,16899172.0,6095609.0,6011907.0,4856895.0,1561.0,1694.0,193.34,69.74,68.78,55.57,194.0,23.0,0.0,,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,8740471.0,,,,
SYR,Asia,Syria,2023-01-18,57441.0,0.0,2.571,3164.0,0.0,0.143,2596.175,0.0,0.116,143.004,0.0,0.006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,22125242.0,,,,
TWN,Asia,Taiwan,2023-01-18,9266087.0,21021.0,20414.571,15929.0,26.0,39.286,387809.544,879.783,854.402,666.67,1.088,1.644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.2,,8.353,,,103.957,,,,,,80.46,,23893396.0,,,,
TJK,Asia,Tajikistan,2023-01-18,17786.0,0.0,0.0,125.0,0.0,0.0,1787.037,0.0,0.0,12.559,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,9952789.0,,,,
TZA,Africa,Tanzania,2023-01-18,42530.0,0.0,9.0,846.0,0.0,0.0,649.335,0.0,0.137,12.916,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,65497752.0,,,,
THA,Asia,Thailand,2023-01-18,4752782.0,0.0,0.0,34668.0,0.0,0.0,66289.809,0.0,0.0,483.535,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135.132,40.1,11.373,6.89,16277.671,0.1,109.861,7.04,1.9,38.8,90.67,2.1,77.15,0.777,71697024.0,,,,
TLS,Asia,Timor,2023-01-18,23407.0,0.0,0.429,138.0,0.0,0.0,17451.006,0.0,0.32,102.885,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.176,18.0,3.556,1.897,6570.102,30.3,335.346,6.86,6.3,78.1,28.178,5.9,69.5,0.606,1341298.0,,,,
TGO,Africa,Togo,2023-01-18,39352.0,0.0,0.286,290.0,0.0,0.0,4447.207,0.0,0.032,32.773,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143.366,19.4,2.839,1.525,1429.813,49.2,280.033,6.15,0.9,14.2,10.475,0.7,61.04,0.515,8848700.0,,,,
TON,Oceania,Tonga,2023-01-18,16590.0,0.0,0.0,13.0,0.0,0.143,155239.69,0.0,0.0,121.647,0.0,1.337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150.028,22.3,5.82,4.032,5425.621,,227.49,15.42,11.8,44.4,,2.6,70.91,0.725,106867.0,,,,
TTO,North America,Trinidad and Tobago,2023-01-18,187204.0,519.0,74.143,4309.0,12.0,1.714,122272.203,338.985,48.426,2814.421,7.838,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,266.886,36.2,10.014,5.819,28763.071,,228.467,10.97,,,89.443,3.0,73.51,0.796,1531043.0,,,,
TUN,Africa,Tunisia,2023-01-18,1150217.0,2488.0,355.429,29291.0,0.0,0.429,93088.88,201.358,28.765,2370.567,0.0,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.228,32.7,8.001,5.075,10849.297,2.0,318.991,8.52,1.1,65.8,78.687,2.3,76.7,0.74,12356116.0,,,,
TUR,Asia,Turkey,2023-01-18,17042722.0,0.0,0.0,101492.0,0.0,0.0,199700.876,0.0,0.0,1189.249,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,85341248.0,,,,
TCA,North America,Turks and Caicos Islands,2023-01-18,6522.0,43.0,6.143,38.0,2.0,0.286,142632.2,940.384,134.341,831.037,43.739,6.248,,,,,,,,,,,,,,,,,,,73907.0,32815.0,30710.0,7443.0,,7.0,161.63,71.76,67.16,16.28,153.0,3.0,0.007,,37.312,,,,,,,,,,,,80.22,,45726.0,,,,
TUV,Oceania,Tuvalu,2023-01-18,2805.0,0.0,0.0,,,,247463.608,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,11335.0,,,,
