iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,rolling_immunity
LAO,Asia,Laos,2020-06-18,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-19,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-20,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-21,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-22,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-23,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-24,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-25,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-26,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-27,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.81,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-28,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-29,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-06-30,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.04,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-01,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-02,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-03,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-04,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-05,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-06,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-07,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-08,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-09,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-10,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-11,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-12,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-13,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-14,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-15,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-16,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-17,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-18,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-19,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-20,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-21,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-22,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-23,19,0,0.0,,,,2.523,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-24,20,1,0.143,,,,2.656,0.133,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-25,20,0,0.143,,,,2.656,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-26,20,0,0.143,,,,2.656,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-27,20,0,0.143,,,,2.656,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-28,20,0,0.143,,,,2.656,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-29,20,0,0.143,,,,2.656,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-30,20,0,0.143,,,,2.656,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-07-31,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-01,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-02,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-03,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-04,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-05,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-06,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-07,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-08,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-09,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-10,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-11,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-12,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-13,20,0,0.0,,,,2.656,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-14,22,2,0.286,,,,2.922,0.266,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-15,22,0,0.286,,,,2.922,0.0,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-16,22,0,0.286,,,,2.922,0.0,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-17,22,0,0.286,,,,2.922,0.0,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-18,22,0,0.286,,,,2.922,0.0,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-19,22,0,0.286,,,,2.922,0.0,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-20,22,0,0.286,,,,2.922,0.0,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-21,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-22,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-23,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-24,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-25,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-26,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-27,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-28,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-29,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-30,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-08-31,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-01,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-02,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-03,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-04,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-05,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-06,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-07,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-08,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-09,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-10,22,0,0.0,,,,2.922,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-11,23,1,0.143,,,,3.055,0.133,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-12,23,0,0.143,,,,3.055,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-13,23,0,0.143,,,,3.055,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-14,23,0,0.143,,,,3.055,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
LAO,Asia,Laos,2020-09-15,23,0,0.143,,,,3.055,0.0,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.11,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4,7.3,51.2,49.839,1.5,67.92,0.613,7529477,,,,,0.0
